,D,L_amount,Ec,Cfp,Ll,Cr,Ic,TotalCostAuto,TotalCostM
61,16.774930555555557,71.11791666666666,213.35375,177.79479166666664,4.6,10.1,16922.90322576389,811.1967717198122,1744.694461465278
62,14.702708333333334,70.44472222222223,225.1341666666667,183.01180555555555,1.2,5.6,17185.120967569444,821.7550656656056,1770.2014370347222
63,13.64875,56.93451388888889,170.80354166666666,142.33628472222222,5.0,10.0,16760.00000009722,796.0231819264749,1718.8723090375001
64,13.246041666666668,69.77145833333333,209.31437499999998,174.42864583333332,3.2,10.7,16710.604838472223,800.0180503274023,1722.3365359305556
65,12.273361111111113,77.14041666666667,231.42125,192.85104166666667,8.2,11.2,16801.693548819443,808.5984947513399,1736.837961826389
66,12.855694444444444,76.930625,230.791875,192.32656250000002,5.4,12.2,16775.806451805558,807.2824857695588,1734.2911208750004
67,12.95722222222222,82.20416666666667,250.2125,207.31041666666667,4.4,1.0,17182.500000069445,825.2621934637792,1774.3584305625004
68,15.245,72.05118055555556,232.9535416666667,188.5279513888889,8.2,0.0,16890.36290326389,809.1131133108173,1740.7340576875001
69,15.366319444444445,67.47673611111111,202.43020833333333,168.69184027777777,5.4,10.8,17900.000000208336,853.7327032329447,1840.2565104375003
70,14.823125,64.73124999999999,194.19374999999997,161.82812499999997,3.4,10.7,17666.048386597224,841.2526431080761,1814.7824636597222
71,13.390555555555556,76.01263888888889,228.03791666666666,190.03159722222222,4.0,2.4,17280.32258041667,826.6931032252611,1780.1395288750007
72,14.580763888888889,77.21840277777778,245.45520833333336,199.94600694444446,1.0,4.3,17504.354839097225,839.1826193317171,1805.9755221041669
73,13.358472222222222,68.133125,204.39937500000002,170.33281250000002,6.0,7.8,17111.85483888889,817.0389745700045,1760.527862361111
74,12.353333333333332,76.98625,231.15875,192.565625,3.4,9.2,17367.983870972224,832.8608176155183,1792.1247829305557
75,12.105555555555556,80.94583333333334,242.83750000000003,202.36458333333337,2.6,9.3,17264.87903201389,829.9815488901976,1784.2932504236114
76,11.520763888888888,85.21111111111111,277.0333333333333,223.72777777777776,3.0,2.2,17142.66129,826.5311769757302,1775.1954276111114
77,11.99388888888889,77.23965277777778,233.11895833333332,193.79913194444444,1.0,6.6,16793.991935444446,805.8020438626348,1733.7543567388893
78,12.935069444444444,77.479375,232.438125,193.6984375,3.2,2.0,16666.209677847222,799.2002414887025,1719.3960684791668
79,14.032430555555557,76.39152777777777,229.3745833333333,191.07881944444443,1.0,1.2,16676.49193534722,798.7903036553924,1719.3169296458332
80,13.213472222222222,82.010625,246.231875,205.1265625,0.6,0.0,16467.217741472225,791.491586568781,1701.4400276194447
81,11.495277777777778,63.65375,218.36125,172.83437500000002,1.6,0.0,16733.467741993056,796.8829257557928,1720.1412394770837
82,13.103472222222225,59.8475,190.74249999999998,155.21875,0.2,8.1,16342.217741944443,778.1486541269519,1679.3729964166664
83,13.309513888888889,58.411180555555546,175.23354166666664,146.02795138888888,4.2,4.0,16589.83870990972,787.0432998629258,1700.3020897409722
84,16.603125,61.67,204.20999999999998,163.77499999999998,2.6,5.0,16496.4516125625,787.1481794086195,1696.5309737562502
85,17.88451388888889,69.75347222222223,216.0604166666667,177.78368055555558,1.6,9.1,16966.774193194447,812.642865812163,1748.6256276527783
86,19.55020833333333,61.36381944444444,184.09145833333332,153.4095486111111,2.6,9.6,16843.427419444444,802.8681599343063,1730.2842454166664
87,19.18694444444445,56.746180555555554,170.23854166666666,141.86545138888889,2.0,9.5,16576.209677777777,788.2175206618147,1700.4246795833337
88,19.610277777777775,61.24104166666666,186.123125,154.30260416666664,0.2,0.2,17300.443548333333,820.6033170321184,1772.2720596944444
89,18.383055555555558,73.21201388888889,296.0360416666667,221.23003472222223,4.2,0.0,16396.33064534722,793.2958183529282,1700.9391791180558
90,16.227500000000003,82.61388888888888,247.84166666666664,206.5347222222222,7.8,10.3,18278.666667013887,878.9414070103235,1888.0884444791664
91,15.186597222222222,86.61736111111111,259.8520833333333,216.54340277777777,4.8,7.8,18370.909091111116,883.644636549105,1898.510853555556
92,14.996041666666663,86.49027777777778,259.4708333333333,216.22569444444443,3.2,9.9,18513.05050513889,890.3444883904266,1913.303335236111
93,16.143541666666668,81.71208333333333,245.13624999999996,204.2802083333333,1.6,3.5,18729.29292909722,895.8611887928193,1929.2165012430557
94,15.933402777777776,78.69590277777777,236.08770833333332,196.73975694444442,2.6,9.9,19076.68686875,912.1392422723827,1964.6343639583336
95,14.429375,76.09215277777778,228.27645833333335,190.23038194444445,2.6,9.2,19365.69696979167,923.3963357853823,1991.4125337847227
96,13.622847222222225,85.96458333333334,258.09375,215.01145833333334,3.2,3.8,18862.868686527778,903.8449013770839,1945.396132541667
97,14.057152777777778,89.58541666666666,268.75624999999997,223.96354166666663,9.2,5.3,19213.41414145833,923.0940892186849,1984.0176502569439
98,15.01375,86.05694444444445,268.37083333333334,220.2423611111111,3.2,0.0,18714.62626229167,897.3558263101664,1930.7510151180559
99,15.194375,84.56944444444444,269.5083333333333,219.32361111111112,2.2,0.0,18655.070707430557,894.3439769104332,1924.5866471319448
100,15.476944444444444,83.0298611111111,249.0895833333333,207.57465277777777,7.0,7.3,18576.080807916667,891.4468591550946,1916.7451849583338
101,16.130902777777777,85.37916666666666,256.1375,213.44791666666666,4.4,9.5,18605.01010111111,894.3056443486265,1921.850558722222
102,16.481041666666666,83.04583333333333,249.1375,207.61458333333331,3.2,9.8,19337.696969513887,926.3573528510472,1993.637592784722
103,17.007291666666667,78.53944444444444,244.41833333333335,200.74861111111113,2.0,0.0,18489.979797777774,883.5200454643661,1903.2693478333333
104,17.201458333333335,69.42194444444445,217.66583333333335,178.25486111111113,2.0,5.7,19180.363636527774,912.0886815326887,1968.7707733749996
105,16.08833333333333,74.60069444444444,223.80208333333331,186.5017361111111,1.0,4.6,18885.57575743056,899.6096297468714,1940.5968604652778
106,16.57541666666667,65.895625,199.28687499999998,165.5390625,2.4,6.7,18716.48484861111,888.7124583368047,1919.298182777778
107,16.619861111111113,56.65986111111111,169.97958333333332,141.64965277777776,2.0,7.3,18576.28282875,877.6910939548139,1899.2391787083338
108,15.562430555555554,71.47763888888889,214.43291666666667,178.69409722222224,3.0,5.9,18638.020202152777,887.412606546777,1914.478728548611
109,16.191736111111112,84.59305555555555,253.77916666666664,211.48263888888886,3.8,9.6,18881.29292930556,906.3936411907781,1948.9539526527783
110,16.66472222222222,85.68361111111112,257.05083333333334,214.2090277777778,2.8,9.5,18333.212121041663,881.9794157395476,1894.7620315486106
111,16.154652777777777,81.94444444444444,245.83333333333331,204.8611111111111,3.6,6.4,18822.909091111116,901.4253125507089,1940.090263277778
112,17.584305555555556,72.18166666666667,220.54500000000002,182.45416666666668,2.6,4.5,18247.878787916667,870.4442236174997,1876.1243926805557
113,18.03743055555556,66.96618055555555,219.89854166666666,176.91545138888887,1.8,5.8,18183.75757534722,866.7839574772848,1869.0575179513885
114,18.21625,66.10791666666667,199.52375,165.86979166666669,2.4,0.7,18364.161616319445,871.3846098115887,1881.907932465278
115,18.08333333333333,59.0842361111111,177.4527083333333,147.81059027777775,0.8,8.1,18363.515151805557,869.6438907368457,1879.9146019861114
116,17.226319444444446,60.93409722222222,182.80229166666666,152.33524305555557,1.2,9.6,17868.888888819445,848.4180469027992,1832.1786840208335
117,18.22451388888889,57.48840277777778,172.46520833333335,143.72100694444447,1.8,2.4,17670.222222430555,835.8681212343773,1807.3521354375002
118,18.920972222222225,57.01152777777778,176.43458333333334,145.22881944444444,3.4,8.6,18323.676767916662,868.0965074368122,1875.9072670694438
119,20.08138888888889,58.83236111111111,176.49708333333334,147.0809027777778,3.0,0.2,17949.737374166667,849.2003327049772,1835.6029110277777
120,20.998472222222222,56.028194444444445,209.88458333333335,160.97048611111111,7.4,0.2,17447.246963472222,830.1255606041502,1790.3328699583335
121,22.915000000000003,49.80125,173.00375,136.303125,5.0,0.0,16943.157894930555,802.2947877166696,1733.0181019930556
122,22.476597222222225,46.99194444444444,140.97583333333333,117.4798611111111,3.8,9.5,17051.45748951389,805.9654202741343,1742.1181725625001
123,19.07465277777778,68.69958333333334,206.49875,171.94895833333334,1.8,0.0,17297.165991944446,824.070229101668,1776.5187936388895
124,19.903958333333332,50.67854166666667,152.035625,126.69635416666668,3.6,9.7,16813.886639444445,796.4604636899985,1720.5601118611114
125,18.574236111111112,69.94611111111111,209.8383333333333,174.86527777777775,3.8,9.1,17513.84615409722,837.4122227361017,1802.7270112430554
126,21.062013888888888,55.719722222222224,167.55916666666667,139.49930555555557,4.2,8.3,17297.327934604167,820.9128303296807,1771.8568142937502
127,19.450625,65.485625,196.456875,163.7140625,3.6,9.4,17445.748987847222,832.3486201222572,1793.205617534722
128,19.455972222222226,80.58194444444445,242.94583333333333,202.0548611111111,2.4,8.3,17297.854250972225,832.7832531038455,1787.8492862083338
129,19.309652777777774,79.3595138888889,333.2785416666667,245.99878472222224,4.8,4.5,17334.61538451389,842.4855848466657,1803.5361877569446
130,19.80173611111111,79.56347222222222,241.69041666666664,200.40868055555552,8.0,8.3,17366.801619513888,836.5990776194084,1794.9465925069444
131,19.166319444444444,82.64583333333333,247.9375,206.61458333333331,4.6,10.1,17098.09716611111,825.4669844437493,1769.946140222222
132,24.585833333333333,54.28076388888889,162.84229166666668,135.70190972222224,3.8,3.9,17795.951416875,842.2191570344239,1819.2762215486111
133,23.021875,45.36958333333334,136.50875000000002,113.62395833333335,2.4,10.0,17549.14979763889,827.8198331531153,1791.0073964305557
134,18.83013888888889,73.25861111111111,219.7758333333333,183.14652777777775,4.0,9.7,17815.384615486113,853.024409444977,1835.3195726597228
135,19.410416666666663,74.01590277777777,222.0477083333333,185.03975694444443,1.6,7.1,17632.753036180555,844.0748080971296,1816.3266820902782
136,19.23958333333333,77.99687499999999,233.99062499999997,194.99218749999997,4.0,10.0,17666.437247152775,848.8194733043689,1823.6656517986107
137,21.699166666666667,64.29569444444445,197.28708333333336,162.93923611111114,3.0,6.3,17704.170040069446,843.4180631878774,1817.8591220625003
138,20.01708333333333,72.0148611111111,216.04458333333332,180.03715277777775,2.4,8.3,17124.696356180553,820.6487110496819,1764.8410036736107
139,19.884027777777774,75.15847222222222,225.47541666666666,187.89618055555553,4.2,9.6,18027.89473722222,863.865871410822,1857.8908834444444
140,19.19020833333333,70.02694444444444,210.08083333333332,175.0673611111111,3.6,7.7,17591.01214576389,840.6469564026697,1809.9777492986111
141,18.86375,73.56576388888888,220.69729166666664,183.91440972222222,2.4,10.2,17287.32793513889,829.1035646188565,1782.7569150416668
142,17.577777777777776,72.71368055555556,218.14104166666667,181.7842013888889,1.6,7.7,17763.40080951389,849.107235631688,1828.601751090278
143,17.83138888888889,75.65347222222222,226.96041666666667,189.13368055555554,7.2,10.2,17525.22267201389,841.5079888278602,1808.2801630347224
144,18.67763888888889,76.88895833333333,230.666875,192.22239583333334,3.2,10.2,18073.603239166667,866.5384256410539,1863.6059107222222
145,19.095694444444447,81.29388888888889,243.88166666666666,203.23472222222222,3.6,10.6,17674.898785625,850.9312682315195,1826.8404757847222
146,20.084375,81.55388888888889,244.6616666666667,203.88472222222225,3.4,6.6,18332.71255035417,879.9184812849751,1891.2697203131945
147,22.29020833333333,66.42069444444445,199.26208333333335,166.05173611111113,5.0,3.8,18413.684210763888,875.9662902250536,1888.7908932986109
148,23.61652777777778,59.14326388888888,177.42979166666663,147.85815972222218,4.6,6.0,18523.684210833333,878.2110931978449,1896.0331953888892
149,21.62201388888889,75.07875,225.23624999999998,187.69687499999998,2.0,9.2,18385.951417097225,879.9893857919639,1893.4385305986116
150,21.373541666666668,75.85381944444445,227.56145833333335,189.63454861111114,5.8,8.3,18458.987854097224,884.0019540842924,1901.2411222152778
151,21.27833333333333,77.35194444444444,234.45583333333335,194.57986111111111,3.8,7.2,18727.384615625,896.488019371627,1928.7650587847224
152,21.514097222222222,78.25270833333333,283.558125,220.03177083333333,3.2,0.2,18479.79487180556,888.2192531869175,1908.715157319445
153,21.396875,76.33194444444445,228.99583333333334,190.82986111111111,2.0,9.5,19207.46666611111,917.9342631690474,1976.502118
154,21.09652777777778,80.1307638888889,248.79229166666667,204.52690972222223,0.8,9.7,19195.117948472223,919.904582962867,1978.926444152778
155,21.41118055555556,81.93180555555556,245.79541666666665,204.82951388888887,3.2,7.9,19198.60512826389,920.061823427399,1978.737304493056
156,21.42763888888889,84.48194444444444,253.44583333333333,211.2048611111111,6.4,6.9,19352.328205069443,928.5551726748208,1995.688848284722
157,21.459375,79.70625000000001,239.31875000000002,199.36562500000002,6.8,6.7,19240.82051270833,921.140397941701,1981.4270512708333
158,22.19493055555556,74.13736111111112,222.41208333333336,185.34340277777778,7.2,9.8,19279.261538125,921.2375672410201,1982.9749315902782
159,22.74263888888889,64.27284722222223,192.81854166666668,160.68211805555558,7.0,6.7,18792.4923075,893.3836805624001,1926.6808453333335
160,21.678194444444443,61.316875,184.750625,153.69218750000002,5.6,8.5,19443.774358958333,921.5956599505427,1990.481224090278
